EmployeeNumber,Gender,Hourly Rate,JobRole,JobRole_lower,New_job_role,JobSatisfaction,JobSatisfaction_new,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsSinceLastPromotion,Job_role_first,upper_job,M or F,Job_id
1,Female,94,Sales Executive,sales executive,Sales Executive,4,10,8,Yes,11,3,0,Sal,SAL,F,SAL1F
2,Male,61,Research Scientist,research scientist,Research Scientist,2,5,1,No,23,4,1,Res,RES,M,RES2M
4,Male,92,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,6,Yes,15,3,0,Lab,LAB,M,LAB4M
5,Female,56,Research Scientist,research scientist,Research Scientist,3,7.5,1,Yes,11,3,3,Res,RES,F,RES5F
7,Male,40,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,9,No,12,3,2,Lab,LAB,M,LAB7M
8,Male,79,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,13,3,3,Lab,LAB,M,LAB8M
10,Female,81,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,4,Yes,20,4,0,Lab,LAB,F,LAB10F
11,Male,67,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,No,22,4,0,Lab,LAB,M,LAB11M
12,Male,44,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,0,No,21,4,1,Man,MAN,M,MAN12M
13,Male,94,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,6,No,13,3,7,Hea,HEA,M,HEA13M
14,Male,84,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,0,No,13,3,0,Lab,LAB,M,LAB14M
15,Female,49,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,0,Yes,12,3,0,Lab,LAB,F,LAB15F
16,Male,31,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,17,3,4,Res,RES,M,RES16M
18,Male,93,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,11,3,1,Lab,LAB,M,LAB18M
19,Male,50,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,5,Yes,14,3,0,Lab,LAB,M,LAB19M
20,Female,51,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,No,11,3,8,Man,MAN,F,MAN20F
21,Male,80,Research Scientist,research scientist,Research Scientist,2,5,0,Yes,12,3,0,Res,RES,M,RES21M
22,Male,96,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,Yes,13,3,0,Lab,LAB,M,LAB22M
23,Female,78,Manager,manager,Manager,4,10,2,No,16,3,3,Man,MAN,F,MAN23F
24,Male,45,Research Scientist,research scientist,Research Scientist,4,10,5,Yes,11,3,1,Res,RES,M,RES24M
26,Female,96,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,0,No,18,3,1,Man,MAN,F,MAN26F
27,Male,82,Sales Representative,sales representative,Sales Representative,1,2.5,7,No,23,4,0,Sal,SAL,M,SAL27M
28,Female,53,Research Director,research director,Research Leader,2,5,0,No,11,3,2,Res,RES,F,RES28F
30,Male,96,Research Scientist,research scientist,Research Scientist,4,10,1,No,14,3,0,Res,RES,M,RES30M
31,Male,83,Research Scientist,research scientist,Research Scientist,1,2.5,2,No,11,3,1,Res,RES,M,RES31M
32,Female,58,Manager,manager,Manager,3,7.5,4,No,11,3,4,Man,MAN,F,MAN32F
33,Female,72,Research Scientist,research scientist,Research Scientist,1,2.5,1,Yes,22,4,6,Res,RES,F,RES33F
35,Male,48,Sales Executive,sales executive,Sales Executive,2,5,0,No,11,3,4,Sal,SAL,M,SAL35M
36,Female,42,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,3,No,14,3,5,Hea,HEA,F,HEA36F
38,Female,83,Manager,manager,Manager,1,2.5,3,No,12,3,2,Man,MAN,F,MAN38F
39,Male,78,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,4,No,11,3,0,Lab,LAB,M,LAB39M
40,Male,41,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,2,Yes,13,3,1,Hea,HEA,M,HEA40M
41,Male,83,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,No,13,3,1,Lab,LAB,M,LAB41M
42,Male,56,Sales Representative,sales representative,Sales Representative,4,10,3,No,14,3,0,Sal,SAL,M,SAL42M
45,Male,61,Research Scientist,research scientist,Research Scientist,4,10,2,Yes,16,3,2,Res,RES,M,RES45M
46,Female,72,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,12,3,1,Res,RES,F,RES46F
47,Male,86,Sales Representative,sales representative,Sales Representative,3,7.5,1,Yes,14,3,0,Sal,SAL,M,SAL47M
49,Female,97,Sales Representative,sales representative,Sales Representative,4,10,1,No,13,3,2,Sal,SAL,F,SAL49F
51,Female,82,Research Scientist,research scientist,Research Scientist,1,2.5,9,Yes,14,3,0,Res,RES,F,RES51F
52,Female,42,Sales Executive,sales executive,Sales Executive,1,2.5,2,No,19,3,1,Sal,SAL,F,SAL52F
53,Male,75,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,12,3,0,Lab,LAB,M,LAB53M
54,Female,33,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,13,3,0,Lab,LAB,F,LAB54F
55,Male,48,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,No,12,3,0,Lab,LAB,M,LAB55M
56,Male,37,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,15,3,1,Sal,SAL,M,SAL56M
57,Female,58,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,No,23,4,3,Lab,LAB,F,LAB57F
58,Female,49,Research Director,research director,Research Leader,3,7.5,1,No,12,3,15,Res,RES,F,RES58F
60,Male,72,Sales Executive,sales executive,Sales Executive,3,7.5,0,No,20,4,8,Sal,SAL,M,SAL60M
61,Male,73,Research Scientist,research scientist,Research Scientist,2,5,4,No,21,4,0,Res,RES,M,RES61M
62,Male,98,Sales Executive,sales executive,Sales Executive,4,10,4,Yes,21,4,0,Sal,SAL,M,SAL62M
